id,latitude,longitude,name,type,color,segment_name,segment_id,url
35,45.392437,-73.939834,SHAZAM!:  [UNCLAIMED],UNCLAIMED,000000,SHAZAM!,7930662,http://www.strava.com/segments/7930662/compare/,
36,45.389992,-73.930573,Fesse Express:  [UNCLAIMED],UNCLAIMED,000000,Fesse Express,7930574,http://www.strava.com/segments/7930574/compare/,
37,45.405016,-73.936155,Escape from McDo:  [Patrick Santeusanio],Patrick Santeusanio,FFFFFF,Escape from McDo,9598784,http://www.strava.com/segments/9598784/compare/,
38,45.387985,-73.961921,Don Quichotte-hill only:  [UNCLAIMED],UNCLAIMED,000000,Don Quichotte-hill only,4597265,http://www.strava.com/segments/4597265/compare/,
39,45.4081885424,-73.9385051095,1 st seg Macdonald:  [UNCLAIMED],UNCLAIMED,000000,1 st seg Macdonald,2296327,http://www.strava.com/segments/2296327/compare/,
40,45.413592,-73.89915,Senneville Lollipop:  [UNCLAIMED],UNCLAIMED,000000,Senneville Lollipop,5568228,http://www.strava.com/segments/5568228/compare/,
41,45.381962,-73.746487,Sprint Rivière Chateauguay:  [UNCLAIMED],UNCLAIMED,000000,Sprint Rivière Chateauguay,7719733,http://www.strava.com/segments/7719733/compare/,
42,45.38106,-73.767135,Centre Nautique/Maple Grove/Centre Nautique:  [UNCLAIMED],UNCLAIMED,000000,Centre Nautique/Maple Grove/Centre Nautique,4448245,http://www.strava.com/segments/4448245/compare/,
43,45.408795,-73.557682,Voie Maritime (Sprint Ouest):  [Yibing Wen],Yibing Wen,8126C0,Voie Maritime (Sprint Ouest),7974277,http://www.strava.com/segments/7974277/compare/,
44,45.40933,-73.577618,Montée Récré-o-parc:  [UNCLAIMED],UNCLAIMED,000000,Montée Récré-o-parc,5560362,http://www.strava.com/segments/5560362/compare/,
45,45.405947,-73.56723,Écluse (sprint):  [UNCLAIMED],UNCLAIMED,000000,Écluse (sprint),3769823,http://www.strava.com/segments/3769823/compare/,
46,45.408442,-73.568747,Pre ROC Sprint:  [UNCLAIMED],UNCLAIMED,000000,Pre ROC Sprint,3989191,http://www.strava.com/segments/3989191/compare/,
47,45.4085389897,-73.5642489418,15km TT:  [UNCLAIMED],UNCLAIMED,000000,15km TT,665985,http://www.strava.com/segments/665985/compare/,
48,45.405451,-73.567089,Off Ecluse Sprint:  [Yibing Wen],Yibing Wen,8126C0,Off Ecluse Sprint,9236820,http://www.strava.com/segments/9236820/compare/,
49,45.393298,-73.580196,132 jusqu'au pont:  [UNCLAIMED],UNCLAIMED,000000,132 jusqu'au pont,7384195,http://www.strava.com/segments/7384195/compare/,
50,45.408598,-73.562393,TT 20 KM Départ Ste-Catherine:  [UNCLAIMED],UNCLAIMED,000000,TT 20 KM Départ Ste-Catherine,9854997,http://www.strava.com/segments/9854997/compare/,
51,45.402496,-73.556688,Rapidos traning 2:  [UNCLAIMED],UNCLAIMED,000000,Rapidos traning 2,3904290,http://www.strava.com/segments/3904290/compare/,
52,45.384074,-73.584878,St-Rémi sens horaire:  [UNCLAIMED],UNCLAIMED,000000,St-Rémi sens horaire,4638229,http://www.strava.com/segments/4638229/compare/,
53,45.400667,-73.522891,Candiac-LaPrairie_Est:  [Yibing Wen],Yibing Wen,8126C0,Candiac-LaPrairie_Est,4794412,http://www.strava.com/segments/4794412/compare/,
54,45.400609,-73.53785,VIA CLSC:  [Yibing Wen],Yibing Wen,8126C0,VIA CLSC,7252701,http://www.strava.com/segments/7252701/compare/,
55,45.4081777,-73.5076542,La Prairie - Candiac / Marie-Victorin Ouest:  [Yibing Wen],Yibing Wen,8126C0,La Prairie - Candiac / Marie-Victorin Ouest,2656120,http://www.strava.com/segments/2656120/compare/,
56,45.384352,-73.541475,Principale nord:  [UNCLAIMED],UNCLAIMED,000000,Principale nord,7252780,http://www.strava.com/segments/7252780/compare/,
57,45.3844279423,-73.519298723,Montée autoroute 15 Parc Haendel:  [UNCLAIMED],UNCLAIMED,000000,Montée autoroute 15 Parc Haendel,2731749,http://www.strava.com/segments/2731749/compare/,
58,45.396578,-73.529935,Sprint final Montréalaise:  [Yibing Wen],Yibing Wen,8126C0,Sprint final Montréalaise,5518316,http://www.strava.com/segments/5518316/compare/,
59,45.382127,-73.535547,Monté:  [UNCLAIMED],UNCLAIMED,000000,Monté,7252752,http://www.strava.com/segments/7252752/compare/,
