id,latitude,longitude,name,type,color,segment_name,segment_id
46,45.408442,-73.568747,Pre ROC Sprint:  [UNCLAIMED],UNCLAIMED,000000,Pre ROC Sprint,3989191,
47,45.4085389897,-73.5642489418,15km TT:  [UNCLAIMED],UNCLAIMED,000000,15km TT,665985,
48,45.405451,-73.567089,Off Ecluse Sprint:  [UNCLAIMED],UNCLAIMED,000000,Off Ecluse Sprint,9236820,
49,45.393298,-73.580196,132 jusqu'au pont:  [UNCLAIMED],UNCLAIMED,000000,132 jusqu'au pont,7384195,
50,45.408598,-73.562393,TT 20 KM Départ Ste-Catherine:  [UNCLAIMED],UNCLAIMED,000000,TT 20 KM Départ Ste-Catherine,9854997,
51,45.402496,-73.556688,Rapidos traning 2:  [UNCLAIMED],UNCLAIMED,000000,Rapidos traning 2,3904290,
52,45.384074,-73.584878,St-Rémi sens horaire:  [UNCLAIMED],UNCLAIMED,000000,St-Rémi sens horaire,4638229,
53,45.400667,-73.522891,Candiac-LaPrairie_Est:  [UNCLAIMED],UNCLAIMED,000000,Candiac-LaPrairie_Est,4794412,
54,45.400609,-73.53785,VIA CLSC:  [UNCLAIMED],UNCLAIMED,000000,VIA CLSC,7252701,
55,45.4081777,-73.5076542,La Prairie - Candiac / Marie-Victorin Ouest:  [UNCLAIMED],UNCLAIMED,000000,La Prairie - Candiac / Marie-Victorin Ouest,2656120,
56,45.384352,-73.541475,Principale nord:  [UNCLAIMED],UNCLAIMED,000000,Principale nord,7252780,
57,45.3844279423,-73.519298723,Montée autoroute 15 Parc Haendel:  [UNCLAIMED],UNCLAIMED,000000,Montée autoroute 15 Parc Haendel,2731749,
58,45.396578,-73.529935,Sprint final Montréalaise:  [UNCLAIMED],UNCLAIMED,000000,Sprint final Montréalaise,5518316,
59,45.382127,-73.535547,Monté:  [UNCLAIMED],UNCLAIMED,000000,Monté,7252752,
60,45.393887,-73.532652,last kilo montrealaise:  [UNCLAIMED],UNCLAIMED,000000,last kilo montrealaise,5518371,
61,45.392077,-73.51708,Hendel:  [UNCLAIMED],UNCLAIMED,000000,Hendel,7252747,
62,45.384225,-73.534237,Sprint Haendel:  [UNCLAIMED],UNCLAIMED,000000,Sprint Haendel,9499314,
63,45.390519,-73.466311,Sprint vers boul. St-Jean:  [UNCLAIMED],UNCLAIMED,000000,Sprint vers boul. St-Jean,1442758,
64,45.396395,-73.483732,Rue de la Bélize Climb:  [UNCLAIMED],UNCLAIMED,000000,Rue de la Bélize Climb,4281431,
65,45.40706,-73.477751,Trail briquetterie:  [UNCLAIMED],UNCLAIMED,000000,Trail briquetterie,8906287,
66,45.397627,-73.484956,Briquetterie NORD:  [UNCLAIMED],UNCLAIMED,000000,Briquetterie NORD,9028232,
67,45.398795,-73.491507,sprint briqueterie:  [UNCLAIMED],UNCLAIMED,000000,sprint briqueterie,10096402,
68,45.3885041038,-73.403865248,BattailleS-Tir-Golf-BattailleN:  [UNCLAIMED],UNCLAIMED,000000,BattailleS-Tir-Golf-BattailleN,2601372,
69,45.447561,-73.942179,Senneville through the trees sprint:  [UNCLAIMED],UNCLAIMED,000000,Senneville through the trees sprint,4934073,
70,45.429612,-73.916949,St Marie farms:  [UNCLAIMED],UNCLAIMED,000000,St Marie farms,4243666,
71,45.422235,-73.935948,Rocky Start to Bumpy Finish:  [UNCLAIMED],UNCLAIMED,000000,Rocky Start to Bumpy Finish,4702480,
72,45.418184842,-73.9352183976,2e seg mcdonald:  [UNCLAIMED],UNCLAIMED,000000,2e seg mcdonald,2296333,
73,45.427099,-73.921837,Sainte Marie's traffic:  [UNCLAIMED],UNCLAIMED,000000,Sainte Marie's traffic,5945427,
74,45.4410002567,-73.9082711656,Single track:  [UNCLAIMED],UNCLAIMED,000000,Single track,1443159,
75,45.438427,-73.907283,Technical SingleTrack:  [UNCLAIMED],UNCLAIMED,000000,Technical SingleTrack,5541226,
76,45.4447307065,-73.9103374723,Dirt Highway:  [UNCLAIMED],UNCLAIMED,000000,Dirt Highway,1443151,
77,45.440705,-73.91765,FatBike SBCU loop:  [UNCLAIMED],UNCLAIMED,000000,FatBike SBCU loop,8974129,
78,45.440993,-73.913228,Technical SingleTrack Loop:  [UNCLAIMED],UNCLAIMED,000000,Technical SingleTrack Loop,5541230,
79,45.4238044,-73.8662895,Garret's Giddyup:  [Patrick Santeusanio],Patrick Santeusanio,AD2323,Garret's Giddyup,1858757,
80,45.419591,-73.882105,Lakeview Boulevard Climb:  [Patrick Santeusanio],Patrick Santeusanio,AD2323,Lakeview Boulevard Climb,3981553,
81,45.4376933444,-73.9016836602,L'Anse a L'Orme - Out and Back:  [UNCLAIMED],UNCLAIMED,000000,L'Anse a L'Orme - Out and Back,2127492,
82,45.4391717,-73.8896161,Marie's Hump:  [UNCLAIMED],UNCLAIMED,000000,Marie's Hump,1740735,
83,45.4222169117,-73.8723869311,Lakeshore around Beaurepaire village:  [UNCLAIMED],UNCLAIMED,000000,Lakeshore around Beaurepaire village,1252910,
84,45.441202,-73.878949,Ch Ste-Marie overpass ouest:  [UNCLAIMED],UNCLAIMED,000000,Ch Ste-Marie overpass ouest,7631682,
85,45.435003,-73.848812,WCG : Elm West:  [UNCLAIMED],UNCLAIMED,000000,WCG : Elm West,8246776,
